document,summary
"b'president barack obama says a host of threats face the united states in a rapidly changing world , but that `` this nation will maintain our military dominance .'",b'obama spells out threats facing us in ##st century'
"b""the senate on wednesday unanimously supported the right of east timor 's people to self-determination , a day after indonesian president suharto paid a visit to the annexed province .""",b'senate unanimously backs east timorese self-determination'
"b'eighty-eight bahraini activists headed off on a ferry wednesday to deliver medical and other aid to iraq and to protest any u.s.-led war , becoming the first anti-war delegation from the gulf kingdom to travel to iraq .'",b'bahraini peace delegation sets sail for iraq'
"b'davos , switzerland , jan ## -lrb- afp -rrb- nato secretary-general lord robertson on monday played down a split between top members of the alliance over iraq , with france and germany at loggerheads with the united states over a possible military intervention in iraq .'",b'nato chief plays down split between top members over iraq'
"b""mike myers flop `` the love guru '' emerged as the front-runner for hollywood 's least coveted awards show -- the razzies -- here wednesday , the annual oscars parody that salutes the UNK .""",b'mike myers top of the flops in annual oscars spoof'
"b'south koreans jee young lee , seon hwa lee and in-kyung kim won early matches sunday to give asia an insurmountable lead en route to its second straight lexus cup title , a ##-# victory over the international team .'",b'asia retains lexus cup with early singles wins'
b'the lawyer for an iranian woman sentenced to be stoned on an adultery conviction said monday that he and her children are worried the delayed execution could be carried out soon with the end of a moratorium on death sentences for the muslim holy month of ramadan .',b'lawyer says iranian woman could be stoned soon'
"b""simon noble , a young-looking ##-year-old , is nobody 's idea of a latter-day bugsy siegel .""",b'the birth of internet bugsy siegels'
"b'a peace-keeping mission will propose this weekend a demilitarized zone in the amazon border area disputed by ecuador and peru , a foreign ministry spokeswoman said friday .'",b'proposal for demilitarized zone ready for ecuador and peru'
b'human rights watch on monday charged that israel used UNK cluster munitions in populated areas of lebanon .',b'human rights group charges israel using cluster munitions'
"b""dunhuang , a city in remote gansu province , northwest china , has long been renowned for its mogao grottoes , housing one of the world 's leading collections of medieval cave art .""",b'oasis boasts more than cave art'
"b'it may not have been a merry year between israel and the palestinians , but that is not stopping the jewish national fund from distributing hundreds of christmas trees to the palestinian authority , israel radio said .'",b'israel gives christmas trees to palestinian authority'
"b""in one of the better scenes in `` titanic , '' america 's latest box-office sensation , the young artist traveling in steerage -lrb- played by leonardo dicaprio -rrb- , gains an invitation to the luxurious first-class dining room , where he is duly snubbed by a collection of vain , boorish people who have never done a decent day 's work in their lives .""","b""what titanic reveals about america 's class wars"""
"b""the world bank today announced the approval of a credit of #.## million u.s. dollars to back the agricultural export promotion and diversification project in cote d'ivoire in western africa .""","b""world bank offers credit to cote d'ivoire"""
"b""princess diana 's mother says relentless media scrutiny helped destroy her second marriage and the fame of being related to a royal has made her the target of stalkers .""","b""princess diana 's mother talks of marriage the media men"""
"b'the securities and exchange commission halted trading monday in UNK ltd. stock , citing questions about the accuracy of several company claims .'",b'sec suspends trading of UNK on new york stock exchange'
b'the dog at the center of the UNK drama between ellen degeneres and an animal rescue agency has found a new home .',b'dog at center of degeneres UNK drama gets new home'
b'paul c. kurtz apologized to a judge at his sentencing for repeatedly posing as a lawyer in criminal cases but could not attract leniency from a jurist who said his regrets `` ring hollow .',b'man who masqueraded as lawyer wins self stiffest possible sentence'
b'police used pepper spray early sunday to break up a christmas eve brawl at a bar in southwestern austria that involved local skinheads .',b'police use pepper spray to break up skinhead bar brawl in austria ; six injured'
b'the united nations today appealed for a ## million u.s. dollar humanitarian aid for sierra leone which is torn apart by five years of civil war .',b'un to aid peace process in s. leone'
b'rachel weisz won the screen actors guild award as best supporting actress for her role as a rabble-rousing UNK worker in the murder thriller `` the constant gardener .',b'rachel weisz wins supporting-actress prize at actors guild honors'
"b'a group of bleary-eyed thai movie buffs were poised sunday to break the current ##-hour world record for continuously watching movies , organisers of the event said .'",b'thailand poised to break world UNK record'
"b'pakistani forces killed about ## taliban militants on sunday , security officials said , as the top us diplomat for south asia visited the volatile country for talks .'",b'## militants said killed in pakistan as us diplomat visits'
"b'UNK shanker , who was the production director of the los angeles opera and more recently of opera pacific in orange county , has died .'",b'opera production director UNK shanker ## dies'
b'stock futures fell friday after the euro sank to a new four-year low .',b'stock futures fall after euro hits new #-year low'
b'many primary and middle schools in china have initiated educational reforms to solve the problems caused by putting undue emphasis on the proportion of students admitted to higher-level schools .',b'china reforms elementary education'
"b'spaniard inigo UNK tested positive for an excess of testosterone during the dauphine libere stage race which he won in france last year , euskaltel team manager miguel madariaga said tuesday .'",b'UNK fails dope test'
"b""columbia university and a wall street investment firm have joined a london civil suit against a czech promoter accused of fraud in a $ ### million deal to acquire control of azerbaijan 's state-owned oil company .""",b'u.s. investors accuse czech promoter of fraud in azerbaijan oil'
"b'marines accused of shooting and killing civilians after a suicide bombing in afghanistan are under u.s. investigation , and their entire unit has been ordered to leave the country , officials said friday .'",b'u.s. marines under investigation for firing on civilians ordered out of afghanistan'
"b'the risk of miscarriage may significantly increase for pregnant women who drink two cups of coffee or more per day , according to a new research available monday .'",b'caffeine may be linked with miscarriage'
"b'despite mounting western pressure and the implicit threat of sanctions , iran has yet to sign a key agreement opening its nuclear facilities to intrusive inspections , the u.n. atomic energy watchdog said thursday .'","b""tehran still has n't signed key nuclear agreement u.n. atomic chief says"""
"b""poland 's central bank on tuesday kept its benchmark interest rate at a record low of #.# percent for the ##th consecutive month , in line with market expectations , to avoid a sharp appreciation in the currency .""",b'poland keeps interest rate at #.# percent'
"b'the american presidential campaign season was abruptly numbed by tragedy tuesday as missouri mourned the death in a plane crash of its democratic governor , mel carnahan , who was in a tight race for a u.s. senate seat with the republican incumbent , john ashcroft .'",b'death of missouri governor carnahan bodes ill for democrats'
"b'the leak of a democratic strategy memo has deepened the partisan rift over a senate inquiry into prewar intelligence on iraq , with republicans accusing democrats on wednesday of seeking to undermine the investigation for political gain .'",b'leaked memo widens rift over senate intelligence inquiry on iraq'
b'zambian national roads fund agency -lrb- UNK -rrb- said that there is urgent need to build capacity among local contractors in order to enhance their efficiency .',b'zambian contractors called for more efficiency'
"b'UNK hudson said she saw her son interviewed on iraqi television as one of the u.s. soldiers taken prisoner , and she prays fellow soldiers `` will get him out of there .'",b'new mexico woman says she is mother of prisoner of war in iraq'
b'ben wallace set the tone at both ends of the court as detroit breezed to a ##-## win on monday over indiana in the opening game of their nba quarter-final playoff series .',b'wallace sparks pistons as pacers return to hostile territory'
b'an azerbaijani opposition leader living in exile in the united states on wednesday warned authorities in the former soviet republic they would face a revolt at upcoming parliamentary elections if they continued to ignore the opposition .',b'talk to opposition or face street power says exiled azerbaijani heavyweight'
"b""four greenpeace members were detained here friday after they climbed on top of turkey 's energy ministry headquarters to denounce plans to build the country 's first nuclear power plant .""","b""greenpeace protests at turkey 's nuclear power plan"""
"b""a us judge tuesday sentenced a professor in miami to five years in prison for being a covert agent for cuba 's government , and his wife to three years for failing to report the illegal activities .""",b'cuban-american jailed for five years for being a covert agent for cuba'
b'media rights watchdog reporters without borders -lrb- rsf -rrb- called monday on the abductors of two french journalists in iraq to heed UNK appeals for their release from muslim groups around the world .',b'rsf asks french hostages abductors to heed muslim calls for their release'
"b'the french electricity group edf has become the principal shareholder in german energy company enbw , raising its stake to ## from ##.# percent through a capital increase , the regional power utility UNK said wednesday .'",b'french utility edf raises stake in enbw of germany'
b'china and brazil signed here on wednesday a complementary protocol to continue their cooperation in UNK surveillance satellite research and development .',b'china brazil agree to continue aerospace cooperation'
"b""thai constitutional court 's third hearing on prime minister thaksin shinawatra 's asset case tuesday focused on whether there are unfair practices in the accuser , the national anti-graft agency 's handling of the case , according to government radio reports .""","b""hearing on thai pm 's asset case focuses on accuser 's practices"""
b'senior officials from the european union -lrb- eu -rrb- expressed their concerns in brussels monday on the universality in drafting a new constitution of iraq .',"b""eu concerns about universality of iraq 's constitutional process"""
"b""east china 's jiangxi province is on high alert for forest fires after an unseasonal heatwave and drought .""",b'east china province on high forest fire alert'
"b""czech prime minister jiri paroubek on thursday criticized the country 's president for failing to keep in line with the government 's policy in favor of the european union constitution , and threatened to cancel some of the president 's foreign trips .""",b'czech prime minister at odds with the president over european union constitution'
"b""a high school marching band 's rendition of `` the death of custer '' may be dropped after drawing criticism from an american indian student .""",b'marching band theme criticized'
b'burundian president pierre nkurunziza is due in kenya on wednesday for a three - day state visit to kenya .',b'burundian leader to visit kenya'
"b'u.s. president george w. bush will deliver a prime-time televised speech next monday on immigration reform , the white house announced friday .'",b'bush to deliver speech on immigration next monday'
"b""denver - never mind tonight 's game # , the los angeles kings and colorado avalanche might still be playing game # if not for a sparkling defensive play by nelson emerson in the third minute of double overtime on sunday .""",b'kings can thank emerson'
"b""responding to an outcry over the shooting of three young men by state troopers on the new jersey turnpike in april , gov. christie whitman said on monday that all ### state police cruisers that patrol new jersey 's toll roads would be equipped with video cameras .""",b'new jersey to put cameras in all state police cars on toll roads'
"b""one of south korea 's richest tycoons was wanted for questioning sunday in a sensational case involving the alleged abduction and beating of bar workers in apparent revenge for an altercation with his son .""",b'south korean tycoon son in trouble over reported beating of bar workers'
"b""bulgaria 's commission for protection of competition has fined the bulgarian branch of austria 's raiffeisen international #.## million leva -lrb- about #.## million u.s. dollars -rrb- for a misleading advertisement , the watchdog announced in a statement on monday .""",b'bulgaria fines raiffeisen for breaking competition rules'
"b'prosecutors rested their case on tuesday in the home invasion and triple murder in cheshire , conn. , three years ago , after a corrections officer testified about a confusing jailhouse confession by the defendant .'",b'jail confession is focus in triple murder trial'
"b""egypt on saturday grabbed the gold medal of the flyweight class in africa 's fifth region boxing championship , the egyptian mena news agency reported .""",b'egypt wins flyweight gold in african region boxing championship'
"b""the german government on monday confirmed it will attempt to pass legislation allowing a referendum on the european union 's -lrb- eu -rrb- constitution even though parliamentary opposition is likely to derail the plan .""",b'germany to try for legislation allowing eu constitution referendum'
"b""jordan 's king abdullah ii has warned washington of the negative effect a unilateral israeli withdrawal from palestinian territory would have on the palestinians , a palace spokesman said friday .""","b""jordan 's king warns against unilateral israeli withdrawal"""
"b'a damaged international cargo ship moored at beilun harbor in zhejiang province has been sold to a chinese steel company who will demolish the ###,###-ton cargo ship .'",b'damaged liberian cargo ship survives'
"b""most of what the denver broncos ' little big man did to the kansas city chiefs on sunday night was plain to see .""",b'broncos coach says griffin is a complete running back'
"b""australia 's labor opposition said tuesday it would be announcing its key tax strategy later in the day , as polls showed that it had lost its lead against the government ahead of elections next month .""",b'australian opposition to rush out tax strategy as polls bring bad news'
"b'washington -- police expanded their search thursday for missing intern chandra levy , exploring abandoned buildings near her apartment .'",b'police expand search for missing intern'
"b""sabine spitz of germany took the gold medal in the olympic women 's mountain bike race at the olympics on saturday , adding it to the bronze she won at the athens games four years ago .""",b'spitz easily wins olympic mountain bike gold medal'
"b'UNK UNK , an ethiopian based in switzerland , won the lausanne marathon on sunday by more than three minutes .'",b'UNK wins lausanne marathon'
"b'pope benedict xvi celebrated mass saturday with his broken wrist in plaster but bemoaned an inability to clasp his hands together in prayer , his closest officials said .'","b""pope ca n't pray with wrist in plaster"""
"b""the ostrich base in southwest china 's yunnan province , the biggest in china , has more than #,### ostriches .""","b""china 's biggest ostrich base set up in yunnan"""
"b'nasa released monday a #-d panoramic view of the surface of mars snapped by the newly landed spirit rover , and scientists picked out their most likely first target for exploration : a shallow crater freshly named `` sleepy hollow .'",b'nasa release #-d pictures of mars surface'
b'kenny rogers allowed just two hits in #\xc2\xa0#\\/# innings as the detroit tigers moved within one game of booking a world series berth friday with a #-# victory over the oakland athletics .',"b""rogers dominates a 's to put tigers on brink of world series berth"""
b'a ##-year-old turkish girl suspected of carrying bird flu virus died on sunday .',b'one suspected bird flu patient dies in turkey'
"b""a faction within kenya 's ruling party has announced it will boycott the party 's presidential nomination next saturday to protest president daniel arap moi 's alleged interference in the choice of candidate .""","b""kenya 's ruling party rainbow faction to boycott presidential nominations"""
"b""the saudi stock market , the arab world 's largest , suffered huge losses on monday , shedding almost ## percent as shares in other gulf states also slumped amid the global financial turmoil .""",b'saudi stocks plunge almost ## pct'
"b""peter o'malley matched the course record at carnoustie with an #-under ## friday in the second round of the dunhill links championship to share the lead with nick dougherty and hennie otto .""",b'o malley dougherty otto share lead at dunhill links'
"b'eager to please worldcom executives and line its pockets , auditing firm arthur andersen failed investors by missing the enormous fraud unfolding at the big telecom company , a lawyer for investors said .'",b'investor lawyer says auditor shares blame in worldcom debacle'
"b""henry kissinger , former u.s. secretary of state , said friday he stands by president bill clinton 's foreign policy despite the president 's recent sex scandal that is threatening his presidency .""","b""kissinger backs clinton 's policy despite sex scandal"""
"b'UNK kovacevic , a serb student wanted in the united states on assault charges , signed a contract on tuesday with a serbian basketball club .'",b'student wanted on assault charges in us signs with serbian basketball team'
"b'china has had the second biggest telephone network in the world , according to a report released here today by the state statistics bureau .'","b""china boasts world 's second largest telephone network"""
"b'coca-cola co. , a symbol for capitalism around the world , entered communist north korea on wednesday , just two days after the u.s. government lifted most economic sanctions .'","b""coca-cola 's in north korea"""
"b""the remains of a polish geologist beheaded by islamic militants in pakistan were returned wednesday to poland in a casket draped in the two countries ' flags and covered in flowers .""",b'body of polish man slain in pakistan returned home'
"b""the dalai lama , tibet 's india-based exiled spiritual leader , thursday said he was willing to hold talks with china for `` genuine self rule '' in tibet , but on mutually acceptable terms .""",b'dalai lama calls for talks urges china to stop cultural genocide'
"b""serbia challenged the right of the u.n. 's highest court on wednesday to hear a suit by bosnia accusing it of genocide , in the first case of a state standing trial for humanity 's worst crime .""",b'serbia begins its defense at world court in first case of state accused of genocide'
b'no. ## seed ai sugiyama regained control over hard-hitting magdalena grzybowska in the final set saturday and advanced to the round of ## in the australian open .',b'sugiyama advances to last ## ; UNK loses to sanchez vicario'
"b'these columns for release thursday , august ## , #### are moving today to clients of the new york times news service .'",b'cox news service commentary budget'
b'a us-based media rights group called tuesday for an end to press censorship in nepal and the release of at least ## journalists it says have been detained since king gyanendra seized power on february # .',b'us-based media group urges press freedom in nepal release of journalists'
b'the ruling african national congress -lrb- anc -rrb- thursday called on all africans to lay a solid foundation in year #### for achieving the goal of the african century in the new millennium .',b'africans urged to build african century in new millennium'
"b'despite congressional inaction on gun safety legislation , a bipartisan group of lawmakers reported thursday that democrats and republican can agree on other ways to fight youth violence .'",b'lawmakers tout juvenile crime plans'
"b'sweden has expelled two russian diplomats in connection with a probe into alleged industrial UNK at a subsidiary of telecoms giant ericsson , the swedish foreign ministry said monday .'",b'sweden expels two russian diplomats in ericsson spy case'
"b'the international tribunal on war crimes in the former yugoslavia handed down its first verdict friday , sentencing a former soldier of the bosnian serb army to ## years in prison for his role in the massacre of muslim civilians in #### near srebrenica .'",b'war crimes panel sentences a former soldier'
"b""the u.n. high commission for refugees plans to resume operations in indonesia 's west timor province , a year after a mob attack left three of its workers dead , a u.n. official said here thursday .""","b""un refugee agency to reopen office in indonesia 's west timor"""
"b'in his latest gesture toward the west , iranian president mohammed khatami said that developing countries must understand western civilization in order to succeed .'",b'iranian president praises the west and says iran needs more'
"b""`` tourism is ruining india , '' she said , and that was the extent of my interview with the UNK of jaipur , whose opinion of journalists is apparently even lower than her view of tourists .""",b'the pretty pink palaces of jaipur'
"b'taiwan shares closed up #.# percent friday on the back of gains on wall street , dealers said .'",b'taiwan shares close #.# percent stronger'
"b""iraqi president saddam hussein 's elder son uday on tuesday urged the iraqi parliament to accept the newly-adopted un security council resolution #### as the lawmakers met for the second day to debate the stance on the tough resolution to disarm iraq .""","b""saddam 's son calls for acceptance of un resolution"""
b'a u.s. state department official said tuesday that recent ethnic violence in chad has forced relief organizations to cut staffing by half and limited their ability to care for refugees from the neighboring darfur region of sudan .',b'u.s. official warns aid organizations pulling back in chad'
b'u.s. treasury bonds rose in asia as traders and investors said the threat of accelerating inflation has faded .',b'u.s. bonds rise in asia as investors bet inflation threat fades'
"b'a taiwanese reverend recalled his experience in extending assistance to victims of the kaohsiung incident ## years ago on the eve of the official opening of a human rights memorial park , saying that all the hard work was worthwhile as taiwan now enjoys full democracy .'",b'reverend recalls efforts to help political prisoners ## years ago'
"b'on the final day of a campaign notable for its harsh invective and political hyperbole , sen. charles s. robb and his republican challenger , oliver l. north , crossed virginia monday trying to paint their fight for the senate as a referendum on the future of the country .'",b'robb on the offensive on last day of virginia senate race'
b'phoenix - cliff ronning was looking for something to do in buffalo a week ago the night before the coyotes played the sabres at midland marine arena .',"b""ronning 's scoring brings back memories of his lacrosse career"""
"b'the government is to privatize up to ##.# percent of holding company galp through a capital increase reserved for private shareholders of two energy companies controlled by galp , officials said thursday .'",b'government privatizes up to ##.# percent of energy sector holding'
b'president bill clinton branded nicotine as an addictive drug thursday and ordered an historic crackdown on teenage smoking aimed at cutting the number of young smokers by half in seven years .',b'clinton cracks down on teen smoking'
"b""austrian cycling star bernhard kohl awoke to widespread criticism in the country 's press tuesday after he became the latest rider to be snared for doping at this year 's tour de france .""",b'afptv advisory for tuesday'
"b""alice thomas ellis , author of wry and searching novels about domestic life including `` the sin eater '' and the clothes in the wardrobe , '' has died at the age of ## .""",b'novelist alice thomas ellis dead at ##'
"b'top-seeded flavia pennetta advanced to the palermo international quarterfinals with a #-# , #-# win over lourdes dominguez lino on wednesday .'",b'top-seeded UNK pennetta advances to palermo international quarterfinals'
b'doctors in berlin are reporting that they cured a man of aids by giving him transplanted blood stem cells from a person naturally resistant to the virus .',b'aids patient reported cured with a rare treatment'
"b""president abdoulaye wade of senegal said in an interview published saturday that france 's military presence in the ivory coast was an indispensable factor in preventing massacres .""",b'senegal president says french army presence in ivory coast indispensable'
"b'stock prices closed higher in tokyo thursday , led mainly by biotechnology issues .'",b'share prices close higher in tokyo'
"b""if ucla 's season goes up in flames here , the legacy of its three seniors forever will be singed .""",b'seniors legacy is secure'
"b'the u.s. dollar lost ground against the new taiwan dollar on the taipei forex tuesday , falling nt$ #.### to close at nt$ ##.### .'",b'u.s. dollar down on taipei forex'
b'sixteen defendants implicated in the november #### cable-car fire that killed ### people in an alpine tunnel proclaimed their innocence anew as the first phase of their trial ended friday .',b'defendants proclaim innocence as first phase of trial in tunnel disaster ends'
"b""it takes a day of driving , sometimes on winding bumpy dirt trails , to reach the taliban hideout deep in pakistan 's mountainous tribal region of orakzai .""",b'determined rebels at pakistani taliban stronghold'
"b""us president george w. bush said tuesday he was confident that he and us lawmakers would `` quickly '' agree on an economic stimulus package in the face of turbulent world financial markets .""",b'bush confident of quick stimulus package'
"b'beijing , november # -lrb- xinhua -rrb- -- a reception was held in beijing today to mark the ##th anniversary of the forging of diplomatic relations between china and peru .'",b'establishment of china-peru diplomatic ties marked in beijing'
"b'the philippine government reassured the public on saturday that it has no intention of declaring emergency rule , as persistently claimed by some of its critics .'",b'manila rules out emergency rule'
b'french movie star gerard depardieu has returned to the french stage for the first time in ## years as a UNK emperor in a murder-mystery written by a former presidential adviser and european bank president .',b'gerard depardieu returns to stage after UNK'
"b""by the time the #### rogers memorial library designers ' UNK opens in southampton , n.y. , on sunday , it will look just like such houses are meant to : a turn-of-the-century summer cottage , as large rambling homes are called in these parts , set on a panoramic site , three floors of rooms awash in fresh fabrics in a gamut of styles and the last word in au UNK landscape design .""",b'## decorators contribute to southampton show house'
"b""cote d'ivoire 's prime minister guillaume soro has called for an international investigation into the rocket attack against his plane , which occurred friday in bouake , stronghold of the former new forces -lrb- fn -rrb- rebels , leaving four people dead and a dozen more injured .""","b""cote d'ivoire 's pm calls for int l inquest into plane attack"""
"b""`` i voted for john mccain and still would , '' said tim driskill , in a flatly drawled declaration of certainty that still speaks for many in this place underwhelmed last november by the charms of barack obama , then the democratic nominee for president .""",b'mccain country warms to its new president'
"b""the mexican government has formally closed a gold and silver mine belonging to canadian firm new gold , ordering the firm to reduce pollution after legal authorities revoked new gold 's license .""",b'mexico gov t closes gold mine to reduce pollution'
b'egypt and indonesia signed here today a memorandum of understanding on joint scientific and technological cooperation .',b'egypt indonesia sign memo of understanding'
"b""the majority of nations at a key meeting of the u.n. atomic watchdog agency agreed friday on the wording of a resolution meant to curb iran 's access to technology that could be used to make nuclear weapons and indirectly set a deadline for tehran to meet their conditions .""",b'europeans americans agree on draft resolution at key u.n. meeting on iran'
"b""the world 's eight most industrialized countries on wednesday condemned the myanmar military junta 's violent crackdown on mass pro-democracy protests .""","b""g# condemns myanmar 's violent crackdown"""
"b'a jury of seven men and five women ended a first day of deliberations thursday on the fate of legendary music producer phil spector , accused of shooting dead an actress at his los angeles home six years ago , officials said .'","b""phil spector 's fate in the hands of jurors"""
"b""the new french government 's increase in the value added tax and other measures will cut the country 's growth rate by almost a third of a percentage point this year , an official report said on tuesday .""",b'french report sees budget measures holding back growth'
"b'the united states and china must increase their cooperation on energy issues in the face of increased demand and record high oil prices , treasury secretary henry paulson said monday as he opened a meeting of high-level economic officials from the two countries .'",b'us and chinese officials begin conference on bilateral economic issues'
"b'gunmen have killed the daughter of a defeated mayoral candidate and wounded three other relatives in an ambush in the southern philippines , police said monday .'",b'gunmen kill daughter of mayoral candidate wound three relatives'
"b""newspapers on wednesday criticized the wife of romania 's health minister for participating in a campaign promoting breast feeding , suggesting her appearance was part of an election campaign tactic .""","b""romanian health minister 's wife criticized for promoting government breast-feeding campaign"""
"b""secretary of state condoleezza rice , whose job entails promoting u.s. aims abroad , is doing her part for her boss ' republican party these days on the home front .""",b'secretary of state does UNK duty on conservative radio and tv'
"b""hongkong post announced friday to issue on oct. # special `` heartwarming stamps '' to congratulate the hong kong olympic team on winning a silver medal in the men 's table tennis doubles at the #### olympic games in athens .""",b'hong kong stocks lower at midday'
"b""russia 's fifth international automobile exhibition -lrb- UNK #### -rrb- opened on wednesday in UNK expo outside moscow , with the majority of the world 's leading carmakers absent amid the ongoing global financial and economic crisis .""","b""russia 's #th international automobile exhibition kicks off amid financial crisis"""
"b""at least ## people were killed and four others were missing in a traffic accident in southwest china ' s yunnan province tuesday afternoon , local officials confirmed .""",b'traffic accident in sw china kills at least ##'
"b""alberto tomba called it `` mission impossible '' at the beginning of the ####-## world cup season .""","b""tomba posed to lead italian sweep in men 's world cup"""
"b""a statue depicting us president barack obama as a boy was sunday removed from a park in indonesia 's capital , officials said .""",b'obama statue removed from jakarta park'
"b""new york ? - an unlikely coalition of interest groups ranging from the liberal moveon.org to the gun owners of america launched a campaign tuesday against america online 's plan to charge a fee to ensure that bulk e-mail gets delivered .""",b'diverse groups oppose aol e-mail fee plan'
"b""iran 's opposition stepped up its challenge to the islamic regime on wednesday holding another rally even as the authorities intensified a crackdown on the media to try to contain the biggest crisis since the #### revolution .""",b'iran opposition presses protests despite crackdown'
"b'three us senators announced wednesday they will visit venezuela soon to meet president hugo chavez , an outspoken critic of the united states , and business leaders .'",b'us lawmakers to visit venezuela'
"b""anatoly UNK does n't know where his next batch of insulin will come from .""","b""bureaucratic games threaten insulin supply for russia 's diabetics"""
"b""when `` scary movie '' came out last year , the tagline for the wayans brothers ' film promised us `` no mercy .""",b'the youngest wayans brothers return'
"b'a statue of a red army soldier , which has been at the heart of deadly riots in estonia , gazed somberly over dozens of russian war graves monday in its new location at a military cemetery in tallinn .'",b'estonia UNK soviet statue at military cemetery amid protests'
"b'children on the kamchatka peninsula threw mercury at each other by the handful for fun , unaware of how poisonous it is , a russian news agency reported tuesday .'",b'russian children discovered playing with poisonous mercury'
"b'hoping to draw doctors , lawyers and businessmen into public service , mortimer b. zuckerman , the publisher of u.s. news &amp; world report , said thursday that he was giving harvard $ ## million to support UNK who pursue public health , education and government degrees .'",b'zuckerman gives harvard $ ## million for public service studies'
b'canadian stocks rose for the first time in three sessions as higher bullion prices lifted gold shares .',b'canadian stocks gain on rally in gold and technology issues'
"b""relishing history as he awaited his second oath-taking , president george w. bush paused amid celebratory galas wednesday to contemplate the most treasured u.s. historical documents , including first president george washington 's inaugural speech .""",b'bush takes time out to visit site of treasured documents'
"b'philippine food and beverage giant , san miguel corp. confirmed on friday it agreed to sell its entire ##-percent stake in the local bottler of coca-cola for ### million dollars to the coca-cola company .'",b'san miguel sold stake in coca-cola philippines for ### mln dlrs'
"b""algeria 's foreign minister said today that there is only one china in the world and the algerian government will persist in that stand and continue to develop friendly and cooperative relations with it .""",b'algeria reiterates one-china policy'
b'the industry ministry announced that general electric plastics was poised to invest more than ## billion pesetas -lrb- $ ### million -rrb- expanding its spanish production facilities .',b'ge to invest $ ### million in spanish production says ministry'
"b'americans must take a lesson from history and not believe the terrorist threat has been exaggerated or will go away , defense secretary donald h. rumsfeld said wednesday .'",b'rumsfeld warns against ignoring history in war on terror'
b'developers of a universal studios theme park and resort in south korea said tuesday the project is slated to open in early #### after being delayed by the global financial crisis .',b'universal studios resort in skorea to open in ####'
"b""indonesian 's ex-military chief wiranto formally announced his presidential candidacy on tuesday and dismissed an arrest warrant issued against him by an east timor judge as `` character assassination .""","b""indonesia 's wiranto says political opponents behind arrest warrant"""
"b'news that the international criminal tribunal for the former yugoslavia -lrb- icty -rrb- had overturned the acquittal of ramush haradinaj , a former commander of the kosovo liberation army -lrb- kla -rrb- , and his subsequent appearance before the court on wednesday , has sparked different reactions , according to media reports in serbia .'",b'retrial of kosovo albanian leader for war crimes sparks different reactions'
"b'the london stock market rose on monday with the ftse ### index up by ##.## points , or #.## percent , to ####.## points .'",b'london key market information'
"b""the general price index at tehran stock exchange on tuesday closed at ####.## points , down ##.## points from monday 's finish .""",b'tehran stock exchange index closes down'
"b""bearded men in lipstick and transvestites in high heels and garter belts fell in behind the banda da ipanema as revelers celebrated carnival 's last gasp tuesday .""",b'revelers enjoy last gasp of carnival in brazil'
"b""the german train drivers union and rail operator deutsche bahn ag are to meet thursday for fresh talks in a pay dispute amid the union 's threat to call an open-ended strike that could cause chaos for the country 's commuters .""",b'german railway train driver union to meet for talks in wage dispute'
"b""pakistan announced a ##-member squad for next month 's world twenty## tournament in the west indies but did not name a captain friday .""",b'pakistan names world twenty## squad'
"b""when the world cup opening ceremonies were broadcast friday , three million germans fumed because a pay-tv dispute stuck them with watching an old cloak-and-dagger film instead of the globe 's biggest sports event .""",b'german angry over not seeing all world cup matches ; kirch says world cup hugely profitable'
"b'a communist was elected speaker of the russian parliament at its first session tuesday , a vote that came after about ### opposition lawmakers walked out of the hall in protest .'","b""russia 's new duma elects speaker"""
"b'china created ##.## million new jobs in urban areas in #### , topping the government goal of # million , the ministry of human resources and social security said friday .'",b'china creates ##.## mln new jobs in ####'
"b'french officials offered support tuesday to visiting belarusian opposition leader alexander milinkevich , and praised his courage in resisting authoritarian president alexander lukashenko .'",b'french officials offer support to belarusian opposition leader'
"b'hsh nordbank , a state-controlled german bank , said sunday that it planned to sue the swiss bank ubs over a portfolio of complex debt products , which it contends that ubs improperly sold and mismanaged .'",b'faulting ubs for losses in bad debt bank is to sue'
"b""brazilian stocks plunged , shaving some $ ## billion off the market 's total share value , on panic selling , amid speculation that the crisis assailing currencies in asia could spill over to latin america .""",b'brazil stocks plunge amid currency devaluation speculation'
"b'while tom kite did more with less raw talent than just about anybody during his pga tour days , morris hatalsky acknowledges he probably could have done more with his natural gifts .'",b'kite maintains one-stroke lead at schwab cup championship'
"b""conga lines of jubilant haitians thronged the dusty , trash-filled streets of the capital thursday to celebrate a negotiated conclusion to their troubled feb. # presidential election that gave UNK 's idol rene preval a first-round victory .""",b'election decision provokes joy anger'
b'the save the olympic festival campaign unofficially began thursday night .',b'olympic festival on shaky legs'
"b'thirty people were injured , seven of them seriously , in clashes in the comoro islands between police and government employees demonstrating for ## months of back salaries , sources said wednesday .'",b'toll from comoros clashes tops ## injured'
"b""the romanian government has agreed with the country 's largest oil and gas supplier omv petrom to seek ways to keep gas prices low for household consumers , prime minister calin popescu tariceanu said tuesday .""",b'romanian government omv petrom agree on keeping low natural gas prices for households'
b'a beaming elena kagan and president barack obama on friday celebrated her imminent ascension to the u.s. supreme court with jokes and references to the irreverent sense of humor she put on display during her senate confirmation hearing .',b'kagan celebrates with obama to be sworn saturday'
